開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0956,04UG030,通識,,,,,,,客家社會探究 [ 97-105入學：歷史與文化 ；106-108入學：公民素養與社會探究 歷史與文化  ；109起入學：人文藝術 ],Social Inquiry of Hakka Community [ Fall Semester 2017 and Before : History and Culture ; From Fall Semester 2017 to Spring Semester 2020 : Citizenship and Social Inquiry History and Culture  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,黃玫瑄,四 3-4 本部 誠301,65,64,,◎進階服務學習
0957,04UG033,通識,,,,是,,,東南亞文化與歷史概略 [ 97-105入學：歷史與文化 ；106-108入學：歷史與文化  ；109起入學：人文藝術 ],An Overview of Southeast Asian Culture and History [ Fall Semester 2017 and Before : History and Culture ; From Fall Semester 2017 to Spring Semester 2020 : History and Culture  ; Fall Semester 2020 and After : Humanities and Arts ],2.0,通,半,廖弘民,五 6-7 本部 誠105,46,37,,
0958,05UG001,通識,A,,,,,,邏輯思考與應用 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理 數學與邏輯思維  ；109起入學：自然科學 跨域專業探索課程 ],Logical Thinking and Application [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Natural Sciences Cross-domain Exploration ],2.0,通,半,王銀國,二 3-4 本部 誠101,155,174,,全國最有個性的通識課，但保證教到會（免費個別教導）。
0959,05UG001,通識,B,,,,,,邏輯思考與應用 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理 數學與邏輯思維  ；109起入學：自然科學 跨域專業探索課程 ],Logical Thinking and Application [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Natural Sciences Cross-domain Exploration ],2.0,通,半,王銀國,二 8-9 本部 誠101,155,172,,全國最有個性的通識課，但保證教到會（免費個別教導）。
0960,05UG001,通識,C,,,,,,邏輯思考與應用 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理 數學與邏輯思維  ；109起入學：自然科學 跨域專業探索課程 ],Logical Thinking and Application [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Natural Sciences Cross-domain Exploration ],2.0,通,半,蔡承志,二 6-7 本部 正202,55,55,,
0961,05UG002,通識,A,,,,,,科學思維 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理  ；109起入學：自然科學 ],Introduction to Scientific Thinking [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,鍾兆晉,一 10-A 本部 誠109,75,75,,
0962,05UG002,通識,B,,,,,,科學思維 [ 97-105入學：數學與科學思維 ；106-108入學：哲學思維與道德推理  ；109起入學：自然科學 ],Introduction to Scientific Thinking [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Philosophical Thinking and Moral Reasoning  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,鍾兆晉,一 B-C 本部 誠109,75,74,,
0963,05UG009,通識,A,,,,,,科技與社會 [ 97-105入學：數學與科學思維 ；106-108入學：科學與生命  ；109起入學：自然科學 ],"Science, Technology and Society [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ]",2.0,通,半,李旻憲,二 3-4 本部 正102,50,52,,
0964,05UG009,通識,B,,,,,,科技與社會 [ 97-105入學：數學與科學思維 ；106-108入學：科學與生命  ；109起入學：自然科學 ],"Science, Technology and Society [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Science and Life  ; Fall Semester 2020 and After : Natural Sciences ]",2.0,通,半,林陳涌,二 3-4 公館 理圖002,50,19,,
0965,05UG010,通識,,,,,,,科學的語言 [ 97-105入學：數學與科學思維 ；106-108入學：數學與邏輯思維  ；109起入學：自然科學 ],The Language of Sciences [ Fall Semester 2017 and Before : Mathematic and Scientific Thinking ; From Fall Semester 2017 to Spring Semester 2020 : Mathematical and Logical Thinking  ; Fall Semester 2020 and After : Natural Sciences ],2.0,通,半,蔡承志,二 8-9 本部 正202,55,55,,
